s,i,w,Tag,?*?,l,x,p,g,f,sent_id,Case,Number,Type,Polarity,Reflex,Polite,Evident,Aspect,Person,Voice,Mood,type,Tense,cat
2,1,Adeta,B-Pred,,adeta,ADV,Noun,3,advmod,bio_1265,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
2,2,kendimden,I-Pred,,kendi,NOUN,Noun,5,acl,bio_1265,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
2,3,geçmiş,I-Pred,,geçmiş,ADJ,Adj,2,compound,bio_1265,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
2,4,bir,I-Pred,,bir,DET,ANum,5,det,bio_1265,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
2,5,haldeyim,I-Pred,,hâl,VERB,Verb,0,root,bio_1265,Loc,Sing,_,_,_,_,_,_,1,_,_,_,_,bio
2,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,bio_1265,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
8,1,Meşrutiyetin,B-IndirectObj,,meşrutiyet,PROPN,Prop,2,nmod:poss,bio_1510,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
8,2,ilanından,I-IndirectObj,,ilan,NOUN,Noun,5,amod,bio_1510,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
8,3,önceki,I-IndirectObj,,önce,ADP,PCAbl,2,case,bio_1510,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
8,4,siyasi,I-IndirectObj,,siyasi,ADJ,Adj,5,amod,bio_1510,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
8,5,faaliyetlere,I-IndirectObj,,faaliyet,NOUN,Noun,6,obj,bio_1510,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
8,6,katıldı,B-Pred,,kat,VERB,Verb,0,root,bio_1510,_,Sing,_,Pos,_,_,Fh,Perf,3,Pass,_,_,Past,bio
8,7,.,PUNCT,,.,PUNCT,PUNCT,6,PUNCT,bio_1510,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
9,1,-,PUNCT,,-,PUNCT,PUNCT,2,PUNCT,bio_289,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
9,2,Öger,B-Pred,,Öger,PROPN,Prop,0,root,bio_289,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
9,3,Prodüksiyon,I-Pred,,prodüksiyon,PROPN,Prop,2,flat,bio_289,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
9,4,.,PUNCT,,.,PUNCT,PUNCT,2,PUNCT,bio_289,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
11,1,1978,B-AdverbialComp,,1978,NUM,ANum,2,nmod:poss,bio_1219,_,_,Card,_,_,_,_,_,_,_,_,Card,_,bio
11,2,yılında,I-AdverbialComp,,yıl,NOUN,Noun,13,obl,bio_1219,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
11,3,",",PUNCT,,",",PUNCT,PUNCT,13,PUNCT,bio_1219,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
11,4,Unesco,B-IndirectObj,,UNESCO,PROPN,Prop,6,nmod:poss,bio_1219,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
11,5,Yürütme,I-IndirectObj,,yürü,VERB,Verb,6,nmod:poss,bio_1219,Nom,Sing,_,Pos,_,_,_,_,3,Cau,_,_,_,bio
11,6,Kurulu'na,I-IndirectObj,,Kurul,NOUN,Noun,13,obj,bio_1219,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
11,7,",",PUNCT,,",",PUNCT,PUNCT,13,PUNCT,bio_1219,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
11,8,Türkiye'yi,B-AdverbialComp,,Türkiye,PROPN,Prop,9,obj,bio_1219,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
