s,i,w,Tag,,l,x,p,g,f,sent_id,Case,Number,Type,Polarity,Reflex,Polite,Evident,Aspect,Person,Voice,Mood,type,Tense,cat
7,1,Peki,O,,peki,ADV,Adverb,11,advmod,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
7,2,kim,B-Subj,,kim,PRON,Ques,11,nsubj,ess_1258,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
7,3,bu,B-DefiniteObj,,bu,DET,Det,7,det,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
7,4,küçük,I-DefiniteObj,,küçük,ADJ,Adj,7,amod,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
7,5,ve,I-DefiniteObj,,ve,CCONJ,Conj,6,cc,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
7,6,basit,I-DefiniteObj,,basit,ADJ,Adj,4,conj,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
7,7,sebepleri,I-DefiniteObj,,sebep,NOUN,Noun,8,obj,ess_1258,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
7,8,devleştirerek,B-AdverbialComp,,dev,VERB,Verb,11,nmod,ess_1258,Nom,Sing,_,Pos,_,_,_,_,3,Cau,Imp,_,_,ess
7,9,aramıza,B-IndirectObj,,ara,ADJ,NAdj,10,amod,ess_1258,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
7,10,sokup,B-Pred,,sok,VERB,Verb,11,nmod,ess_1258,_,_,_,Pos,_,_,_,_,_,_,_,_,_,ess
7,11,duruyor,I-Pred,,dur,VERB,Verb,0,root,ess_1258,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,ess
7,12,?,PUNCT,,?,PUNCT,PUNCT,11,PUNCT,ess_1258,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
10,1,Yalnız,O,,Yalnız,ADV,Adverb,9,advmod,ess_1924,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
10,2,",",PUNCT,,",",PUNCT,PUNCT,9,PUNCT,ess_1924,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
10,3,neden,B-AdverbialComp,,neden,NOUN,Noun,6,obl,ess_1924,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
10,4,yaşamak,B-Subj,,yaşa,VERB,Verb,3,compound:lvc,ess_1924,Nom,_,_,Pos,_,_,_,_,_,_,_,_,_,ess
10,5,ıstırap,B-Pred,,ıstırap,NOUN,Noun,6,obj,ess_1924,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
10,6,verici,I-Pred,,verici,VERB,Verb,7,acl,ess_1924,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
10,7,bir,I-Pred,,bir,NUM,ANum,9,nsubj,ess_1924,_,_,Card,_,_,_,_,_,_,_,_,Card,_,ess
10,8,şey,I-Pred,,şey,NOUN,Noun,7,compound,ess_1924,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
10,9,?,PUNCT,,?,PUNCT,PUNCT,0,root,ess_1924,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
12,1,Yatağan,O,?*?,Yatağan,PROPN,Prop,0,root,ess_563,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
12,2,",",PUNCT,,",",PUNCT,PUNCT,3,PUNCT,ess_563,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
12,3,Milas,O,,Milas,PROPN,Prop,1,conj,ess_563,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
12,4,ve,O,,ve,CCONJ,Conj,5,cc,ess_563,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
12,5,Akılcılık,O,,akıl,PROPN,Prop,1,conj,ess_563,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
12,6,...,PUNCT,,...,PUNCT,PUNCT,5,PUNCT,ess_563,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
21,1,Kahvaltıya,B-AdverbialComp,,kahvaltı,NOUN,Noun,5,obl,ess_921,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
21,2,kadar,I-AdverbialComp,,kadar,ADP,PCDat,1,case,ess_921,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
21,3,2,B-AdverbialComp,,2,NUM,ANum,4,nummod,ess_921,_,_,Card,_,_,_,_,_,_,_,_,Card,_,ess
21,4,saat,I-AdverbialComp,,saat,NOUN,Noun,5,obl,ess_921,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
21,5,çalışırım,B-Pred,,çalış,VERB,Verb,0,root,ess_921,_,Sing,_,Pos,_,_,_,Hab,1,_,_,_,Pres,ess
21,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,ess_921,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
28,1,İkisi,B-Subj,,iki,NUM,NNum,4,nsubj,ess_913,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
28,2,de,I-Subjj,,de,CCONJ,Conj,1,advmod:emph,ess_913,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
